Index,Type,Strength_MPa,CO2_kg,Cost_$
105,AgentDesign,33.24,371.30,113.41
108,Baseline,47.10,356.55,122.27
108,AgentDesign,33.50,357.59,122.38
112,Baseline,56.10,401.70,117.08
112,AgentDesign,30.97,404.38,117.42
113,Baseline,59.09,374.02,140.82
113,AgentDesign,32.57,375.32,140.96
114,Baseline,22.90,338.36,111.58
114,AgentDesign,30.05,340.98,111.91
116,Baseline,61.09,346.17,108.96
116,AgentDesign,62.58,346.14,108.91
117,Baseline,59.80,295.58,100.50
117,AgentDesign,59.06,290.70,100.02
118,Baseline,60.29,394.15,128.40
118,AgentDesign,69.86,391.38,128.12
119,Baseline,61.80,396.67,133.23
119,AgentDesign,70.83,403.37,134.14
120,Baseline,56.70,359.93,141.08
120,AgentDesign,70.83,370.05,142.47
121,Baseline,68.30,427.53,113.96
121,AgentDesign,65.69,426.08,113.80
122,Baseline,66.90,450.58,172.51
122,AgentDesign,70.81,450.28,172.45
123,Baseline,60.29,394.15,128.40
123,AgentDesign,70.82,400.16,129.21
124,Baseline,50.70,357.76,113.35
124,AgentDesign,57.59,359.92,113.62
125,Baseline,56.40,494.32,165.20
125,AgentDesign,71.37,499.73,165.92
126,Baseline,60.29,394.15,128.40
126,AgentDesign,70.82,399.92,129.17
127,Baseline,55.50,305.46,115.33
127,AgentDesign,61.30,301.31,114.94
128,Baseline,68.50,368.14,112.99
128,AgentDesign,68.45,368.75,113.04
129,Baseline,71.30,338.36,111.58
129,AgentDesign,64.08,340.45,111.83
130,Baseline,74.70,307.01,106.44
130,AgentDesign,57.53,311.36,107.01
131,Baseline,52.20,356.55,122.27
131,AgentDesign,69.25,358.90,122.57
132,Baseline,71.30,338.36,111.58
132,AgentDesign,64.97,342.02,112.05
133,Baseline,67.70,274.02,103.83
133,AgentDesign,61.28,277.41,104.28
134,Baseline,71.30,338.36,111.58
134,AgentDesign,61.13,345.56,112.57
135,Baseline,66.00,401.70,117.08
135,AgentDesign,65.16,405.74,117.61
136,Baseline,74.50,374.02,140.82
136,AgentDesign,67.91,380.76,141.73
137,Baseline,71.30,338.36,111.58
137,AgentDesign,62.91,345.77,112.59
138,Baseline,49.90,314.85,103.38
138,AgentDesign,51.33,316.01,103.51
139,Baseline,63.40,346.17,108.96
139,AgentDesign,71.52,349.06,109.32
140,Baseline,64.90,295.58,100.50
140,AgentDesign,71.20,295.17,100.41
141,Baseline,64.30,394.15,128.40
141,AgentDesign,71.83,392.88,128.25
142,Baseline,64.90,396.67,133.23
142,AgentDesign,71.84,403.14,134.11
143,Baseline,60.20,359.93,141.08
143,AgentDesign,71.84,362.51,141.41
144,Baseline,72.30,427.53,113.96
144,AgentDesign,71.84,433.85,114.81
145,Baseline,69.30,450.58,172.51
145,AgentDesign,71.84,457.55,173.45
146,Baseline,64.30,394.15,128.40
146,AgentDesign,71.84,396.97,128.76
147,Baseline,55.20,357.76,113.35
147,AgentDesign,71.85,368.97,114.90
148,Baseline,58.80,494.32,165.20
148,AgentDesign,72.25,497.14,165.56
149,Baseline,64.30,394.15,128.40
149,AgentDesign,71.84,398.40,128.96
150,Baseline,66.10,305.46,115.33
150,AgentDesign,71.37,310.88,116.06
151,Baseline,73.70,368.14,112.99
151,AgentDesign,71.86,371.89,113.48
152,Baseline,77.30,338.36,111.58
152,AgentDesign,71.50,338.89,111.61
153,Baseline,80.20,307.01,106.44
153,AgentDesign,71.17,306.53,106.36
154,Baseline,54.90,356.55,122.27
154,AgentDesign,71.65,358.32,122.49
155,Baseline,77.30,338.36,111.58
155,AgentDesign,71.51,341.23,111.94
156,Baseline,72.99,274.02,103.83
156,AgentDesign,71.33,275.95,104.08
157,Baseline,77.30,338.36,111.58
157,AgentDesign,71.52,345.15,112.50
158,Baseline,71.70,401.70,117.08
158,AgentDesign,71.64,405.27,117.54
159,Baseline,79.40,374.02,140.82
159,AgentDesign,71.55,377.25,141.24
160,Baseline,77.30,338.36,111.58
160,AgentDesign,71.51,341.93,112.05
161,Baseline,59.89,314.85,103.38
161,AgentDesign,65.55,317.45,103.71
162,Baseline,64.90,346.17,108.96
162,AgentDesign,72.03,347.34,109.08
163,Baseline,66.60,295.58,100.50
163,AgentDesign,71.79,302.47,101.43
164,Baseline,65.20,394.15,128.40
164,AgentDesign,72.28,394.18,128.36
165,Baseline,66.70,396.67,133.23
165,AgentDesign,72.29,404.51,134.30
166,Baseline,62.50,359.93,141.08
166,AgentDesign,72.29,365.51,141.83
167,Baseline,74.19,427.53,113.96
167,AgentDesign,72.29,437.34,115.31
168,Baseline,70.70,450.58,172.51
168,AgentDesign,72.29,454.98,173.09
169,Baseline,65.20,394.15,128.40
169,AgentDesign,72.27,390.85,128.08
170,Baseline,57.60,357.76,113.35
170,AgentDesign,72.29,359.69,113.58
171,Baseline,59.20,494.32,165.20
171,AgentDesign,72.62,501.31,166.15
172,Baseline,65.20,394.15,128.40
172,AgentDesign,72.28,394.95,128.48
173,Baseline,68.10,305.46,115.33
173,AgentDesign,71.90,311.35,116.14
174,Baseline,75.50,368.14,112.99
174,AgentDesign,72.30,371.46,113.43
175,Baseline,79.30,338.36,111.58
175,AgentDesign,72.02,342.61,112.14
176,Baseline,56.50,356.55,122.27
176,AgentDesign,72.13,362.71,123.10
177,Baseline,79.30,338.36,111.58
177,AgentDesign,72.02,341.19,111.94
178,Baseline,76.80,274.02,103.83
178,AgentDesign,71.86,273.16,103.72
179,Baseline,79.30,338.36,111.58
179,AgentDesign,72.01,337.28,111.45
180,Baseline,73.30,401.70,117.08
180,AgentDesign,72.13,408.83,118.05
181,Baseline,82.60,374.02,140.82
181,AgentDesign,72.05,380.35,141.68
182,Baseline,79.30,338.36,111.58
182,AgentDesign,72.02,342.42,112.11
183,Baseline,67.80,314.85,103.38
183,AgentDesign,71.99,318.82,103.90
198,Baseline,37.34,185.19,78.62
198,AgentDesign,30.04,185.40,78.62
202,Baseline,35.34,182.29,78.82
202,AgentDesign,30.03,181.87,78.75
203,Baseline,40.57,182.29,78.82
203,AgentDesign,34.53,183.48,78.96
208,Baseline,39.61,197.67,75.13
208,AgentDesign,33.53,198.46,75.20
213,Baseline,35.34,211.35,73.72
213,AgentDesign,32.50,214.57,74.13
218,Baseline,40.39,184.51,83.99
218,AgentDesign,37.80,189.31,84.63
223,Baseline,33.54,157.57,67.89
223,AgentDesign,30.96,158.14,67.93
225,Baseline,17.82,162.26,73.20
225,AgentDesign,30.16,163.38,73.34
226,Baseline,24.24,162.26,73.20
226,AgentDesign,49.62,165.97,73.69
227,Baseline,32.85,162.26,73.20
227,AgentDesign,60.89,164.03,73.42
228,Baseline,39.23,162.26,73.20
228,AgentDesign,71.66,165.55,73.63
233,Baseline,53.90,203.50,80.49
233,AgentDesign,34.54,203.77,80.48
238,Baseline,49.97,203.28,79.98
238,AgentDesign,33.41,206.36,80.37
243,Baseline,40.86,212.89,77.40
243,AgentDesign,32.81,217.21,77.96
247,Baseline,39.59,220.85,80.45
247,AgentDesign,30.52,225.71,81.08
248,Baseline,44.30,220.85,80.45
248,AgentDesign,32.81,224.83,80.97
253,Baseline,42.35,229.37,78.65
253,AgentDesign,34.89,227.60,78.44
257,Baseline,42.55,201.81,83.80
257,AgentDesign,33.11,203.45,83.99
258,Baseline,42.92,201.81,83.80
258,AgentDesign,38.19,203.23,83.96
262,Baseline,44.40,203.83,87.90
262,AgentDesign,33.81,202.43,87.73
263,Baseline,47.74,203.83,87.90
263,AgentDesign,37.27,206.83,88.29
267,Baseline,45.08,200.44,81.37
267,AgentDesign,38.59,202.11,81.56
268,Baseline,47.82,200.44,81.37
268,AgentDesign,41.39,202.25,81.60
272,Baseline,42.70,215.62,80.02
272,AgentDesign,33.73,215.38,79.96
273,Baseline,45.84,215.62,80.02
273,AgentDesign,40.84,214.69,79.89
277,Baseline,36.97,230.87,79.04
277,AgentDesign,33.88,234.79,79.55
278,Baseline,43.58,230.87,79.04
278,AgentDesign,39.85,233.77,79.40
282,Baseline,36.64,231.59,80.54
282,AgentDesign,34.32,238.22,81.44
283,Baseline,44.21,231.59,80.54
283,AgentDesign,37.52,233.80,80.82
287,Baseline,35.57,174.25,77.41
287,AgentDesign,30.16,172.86,77.25
288,Baseline,45.37,174.25,77.41
288,AgentDesign,36.71,173.96,77.34
292,Baseline,43.50,176.96,80.08
292,AgentDesign,30.42,180.28,80.52
293,Baseline,48.67,176.96,80.08
293,AgentDesign,38.40,177.69,80.14
297,Baseline,39.15,169.02,85.63
297,AgentDesign,33.82,169.15,85.61
298,Baseline,48.15,169.02,85.63
298,AgentDesign,39.36,168.42,85.54
301,Baseline,34.74,268.35,93.31
301,AgentDesign,36.70,274.73,94.17
302,Baseline,45.08,268.35,93.31
302,AgentDesign,45.48,272.31,93.83
303,Baseline,48.97,268.35,93.31
303,AgentDesign,51.77,272.46,93.85
306,Baseline,48.28,260.07,98.18
306,AgentDesign,35.57,258.66,98.02
307,Baseline,51.04,260.07,98.18
307,AgentDesign,46.70,260.25,98.17
308,Baseline,55.64,260.07,98.18
308,AgentDesign,52.99,258.87,98.04
311,Baseline,39.94,272.20,92.38
311,AgentDesign,35.54,275.96,92.88
312,Baseline,48.72,272.20,92.38
312,AgentDesign,45.09,273.54,92.53
313,Baseline,52.04,272.20,92.38
313,AgentDesign,52.59,278.27,93.20
316,Baseline,33.94,239.53,97.47
316,AgentDesign,37.60,243.76,98.03
317,Baseline,44.14,239.53,97.47
317,AgentDesign,48.17,242.67,97.88
318,Baseline,45.37,239.53,97.47
318,AgentDesign,53.97,240.89,97.63
321,Baseline,30.85,237.62,97.77
321,AgentDesign,32.64,243.48,98.56
322,Baseline,42.03,237.62,97.77
322,AgentDesign,43.38,241.19,98.23
323,Baseline,51.06,237.62,97.77
323,AgentDesign,48.67,243.51,98.56
326,Baseline,50.60,241.99,101.55
326,AgentDesign,38.82,244.70,101.90
327,Baseline,55.83,241.99,101.55
327,AgentDesign,47.56,244.67,101.90
328,Baseline,60.95,241.99,101.55
328,AgentDesign,52.12,242.81,101.64
331,Baseline,52.50,235.03,95.95
331,AgentDesign,44.04,238.54,96.41
332,Baseline,60.32,235.03,95.95
332,AgentDesign,55.38,237.39,96.25
333,Baseline,66.42,235.03,95.95
333,AgentDesign,61.90,235.30,95.96
336,Baseline,51.33,256.22,93.07
336,AgentDesign,40.33,259.39,93.48
337,Baseline,56.85,256.22,93.07
337,AgentDesign,52.17,256.68,93.09
338,Baseline,58.61,256.22,93.07
338,AgentDesign,59.15,256.90,93.12
341,Baseline,47.40,274.24,93.75
341,AgentDesign,37.76,279.47,94.44
342,Baseline,51.96,274.24,93.75
342,AgentDesign,47.66,278.55,94.31
343,Baseline,56.74,274.24,93.75
343,AgentDesign,56.51,277.65,94.18
346,Baseline,40.15,204.92,87.93
346,AgentDesign,35.82,205.94,88.04
347,Baseline,46.64,204.92,87.93
347,AgentDesign,46.23,203.23,87.75
348,Baseline,50.08,204.92,87.93
348,AgentDesign,57.48,206.80,88.15
351,Baseline,45.94,206.50,91.60
351,AgentDesign,36.16,209.99,92.06
352,Baseline,51.43,206.50,91.60
352,AgentDesign,48.16,208.21,91.80
353,Baseline,59.30,206.50,91.60
353,AgentDesign,50.23,206.88,91.63
356,Baseline,63.14,262.58,98.76
356,AgentDesign,37.41,265.61,99.16
357,Baseline,66.82,262.58,98.76
357,AgentDesign,50.04,265.44,99.13
358,Baseline,66.95,262.58,98.76
358,AgentDesign,57.89,266.20,99.23
360,Baseline,35.96,212.69,94.68
360,AgentDesign,32.01,216.56,95.19
361,Baseline,55.51,212.69,94.68
361,AgentDesign,43.41,214.79,94.94
362,Baseline,61.99,212.69,94.68
362,AgentDesign,55.67,215.40,95.03
363,Baseline,63.53,212.69,94.68
363,AgentDesign,65.40,215.62,95.06
366,Baseline,52.20,206.70,87.30
366,AgentDesign,38.59,210.94,87.85
367,Baseline,53.96,206.70,87.30
367,AgentDesign,46.98,206.34,87.23
368,Baseline,56.63,206.70,87.30
368,AgentDesign,52.11,209.88,87.72
372,Baseline,37.27,210.39,90.71
372,AgentDesign,39.19,209.66,90.60
373,Baseline,46.23,210.39,90.71
373,AgentDesign,43.91,214.45,91.25
377,Baseline,36.30,328.64,75.85
377,AgentDesign,33.95,337.44,77.03
378,Baseline,43.06,328.64,75.85
378,AgentDesign,34.58,327.57,75.71
379,Baseline,67.57,439.04,101.83
379,AgentDesign,71.37,439.76,101.90
380,Baseline,57.23,415.46,93.09
380,AgentDesign,71.08,421.25,93.87
381,Baseline,81.75,289.83,91.54
381,AgentDesign,58.93,290.46,91.59
382,Baseline,64.02,438.35,90.84
382,AgentDesign,56.20,439.00,90.89
383,Baseline,78.80,405.89,112.92
383,AgentDesign,55.39,417.13,114.48
384,Baseline,41.37,456.62,110.80
384,AgentDesign,71.37,458.85,111.07
385,Baseline,60.28,456.96,105.66
385,AgentDesign,67.39,459.19,105.94
386,Baseline,56.83,465.42,109.08
386,AgentDesign,61.49,470.97,109.82
387,Baseline,51.02,456.79,104.90
387,AgentDesign,61.13,452.86,104.52
388,Baseline,55.55,361.12,129.50
388,AgentDesign,64.30,364.78,129.98
389,Baseline,44.13,437.57,97.04
389,AgentDesign,51.48,444.70,97.99
390,Baseline,39.38,397.07,93.54
390,AgentDesign,45.70,400.75,94.01
391,Baseline,55.65,372.84,132.74
391,AgentDesign,68.10,379.98,133.71
392,Baseline,47.28,315.27,118.79
392,AgentDesign,55.22,314.01,118.64
393,Baseline,44.33,312.73,111.49
393,AgentDesign,44.04,312.16,111.40
394,Baseline,52.30,353.50,79.65
394,AgentDesign,42.33,357.40,80.16
396,Baseline,41.37,456.69,110.95
396,AgentDesign,71.37,460.66,111.47
400,Baseline,67.87,240.45,94.69
400,AgentDesign,53.16,240.36,94.65
401,Baseline,58.52,423.84,109.97
401,AgentDesign,64.09,437.63,111.89
402,Baseline,53.58,267.71,92.19
402,AgentDesign,49.31,272.86,92.88
403,Baseline,59.00,326.95,100.62
403,AgentDesign,57.33,332.08,101.30
404,Baseline,76.24,262.71,99.55
404,AgentDesign,59.42,264.73,99.79
405,Baseline,69.84,444.39,111.40
405,AgentDesign,71.37,452.84,112.55
435,Baseline,41.20,167.02,80.29
435,AgentDesign,30.26,168.87,80.51
438,Baseline,41.41,165.18,79.43
438,AgentDesign,31.92,166.87,79.63
439,Baseline,37.81,173.69,85.03
439,AgentDesign,31.17,174.55,85.11
442,Baseline,44.64,206.45,91.41
442,AgentDesign,34.41,205.76,91.31
446,Baseline,53.72,165.34,80.76
446,AgentDesign,40.65,167.23,80.98
447,Baseline,48.59,170.94,70.74
447,AgentDesign,40.26,172.04,70.85
448,Baseline,51.72,167.02,80.29
448,AgentDesign,39.03,167.48,80.31
449,Baseline,35.85,163.23,69.42
449,AgentDesign,38.65,163.52,69.42
450,Baseline,53.77,168.17,76.00
450,AgentDesign,40.04,168.81,76.05
451,Baseline,53.46,165.18,79.43
451,AgentDesign,43.39,166.75,79.62
452,Baseline,48.99,173.69,85.03
452,AgentDesign,40.65,173.65,84.99
454,Baseline,39.64,229.08,77.96
454,AgentDesign,30.41,232.73,78.42
455,Baseline,51.26,206.45,91.41
455,AgentDesign,43.46,209.94,91.87
457,Baseline,39.27,230.93,79.21
457,AgentDesign,31.94,233.19,79.48
458,Baseline,37.96,151.38,57.54
458,AgentDesign,34.01,151.79,57.55
459,Baseline,55.02,165.34,80.76
459,AgentDesign,46.71,161.88,80.42
460,Baseline,49.99,170.94,70.74
460,AgentDesign,44.75,170.47,70.66
461,Baseline,53.66,167.02,80.29
461,AgentDesign,49.14,169.30,80.56
462,Baseline,37.68,163.23,69.42
462,AgentDesign,44.53,162.04,69.28
463,Baseline,56.06,168.17,76.00
463,AgentDesign,50.30,167.37,75.88
464,Baseline,56.81,165.18,79.43
464,AgentDesign,54.67,168.42,79.84
465,Baseline,50.94,173.69,85.03
465,AgentDesign,49.07,174.99,85.18
466,Baseline,33.56,184.45,83.79
466,AgentDesign,34.70,187.89,84.24
467,Baseline,41.16,229.08,77.96
467,AgentDesign,33.43,235.27,78.79
468,Baseline,52.96,206.45,91.41
468,AgentDesign,52.23,207.75,91.55
469,Baseline,44.28,185.13,78.42
469,AgentDesign,32.77,186.12,78.51
470,Baseline,40.15,230.93,79.21
470,AgentDesign,39.97,233.93,79.58
471,Baseline,57.03,403.34,115.18
471,AgentDesign,70.87,413.60,116.59
472,Baseline,44.42,403.38,115.26
472,AgentDesign,70.86,407.24,115.77
473,Baseline,51.02,403.38,115.26
473,AgentDesign,70.86,409.28,116.05
474,Baseline,53.39,401.77,111.91
474,AgentDesign,69.45,401.61,111.86
478,Baseline,52.01,403.34,115.18
478,AgentDesign,36.85,412.18,116.39
479,Baseline,38.02,403.38,115.26
479,AgentDesign,36.96,406.74,115.69
480,Baseline,39.30,403.38,115.26
480,AgentDesign,34.18,405.91,115.58
481,Baseline,61.07,403.34,115.18
481,AgentDesign,71.87,412.26,116.41
482,Baseline,56.14,403.38,115.26
482,AgentDesign,71.87,408.85,115.98
483,Baseline,55.25,403.38,115.26
483,AgentDesign,71.87,408.41,115.93
484,Baseline,54.77,401.77,111.91
484,AgentDesign,71.87,404.80,112.30
485,Baseline,50.24,356.95,117.34
485,AgentDesign,64.67,363.27,118.20
486,Baseline,46.68,356.48,116.37
486,AgentDesign,62.71,361.76,117.08
487,Baseline,46.68,353.69,110.57
487,AgentDesign,61.40,350.34,110.24
493,Baseline,41.67,353.69,110.57
493,AgentDesign,30.58,359.31,111.33
494,Baseline,56.34,356.95,117.34
494,AgentDesign,71.78,360.26,117.77
495,Baseline,47.97,356.48,116.37
495,AgentDesign,71.78,358.70,116.64
496,Baseline,61.46,353.69,110.57
496,AgentDesign,71.78,357.87,111.12
497,Baseline,44.03,328.57,111.50
497,AgentDesign,64.25,321.48,110.85
498,Baseline,55.45,327.51,109.30
498,AgentDesign,65.43,334.14,110.20
499,Baseline,55.55,432.45,101.37
499,AgentDesign,56.17,436.45,101.89
