Index,Type,Strength_MPa,CO2_kg,Cost_$
117,Baseline,59.80,295.58,100.50
117,AgentDesign,58.06,294.97,100.40
118,Baseline,60.29,394.15,128.40
118,AgentDesign,70.82,398.50,128.98
119,Baseline,61.80,396.67,133.23
119,AgentDesign,70.82,399.59,133.60
120,Baseline,56.70,359.93,141.08
120,AgentDesign,70.81,359.46,141.00
121,Baseline,68.30,427.53,113.96
121,AgentDesign,65.42,430.17,114.30
122,Baseline,66.90,450.58,172.51
122,AgentDesign,70.82,456.07,173.24
123,Baseline,60.29,394.15,128.40
123,AgentDesign,70.83,401.51,129.39
124,Baseline,50.70,357.76,113.35
124,AgentDesign,63.86,362.33,113.95
125,Baseline,56.40,494.32,165.20
125,AgentDesign,71.37,500.51,166.03
126,Baseline,60.29,394.15,128.40
126,AgentDesign,70.82,395.81,128.58
127,Baseline,55.50,305.46,115.33
127,AgentDesign,64.80,311.34,116.12
128,Baseline,68.50,368.14,112.99
128,AgentDesign,70.81,364.02,112.59
129,Baseline,71.30,338.36,111.58
129,AgentDesign,66.17,343.46,112.25
130,Baseline,74.70,307.01,106.44
130,AgentDesign,61.26,309.98,106.80
131,Baseline,52.20,356.55,122.27
131,AgentDesign,69.55,358.86,122.55
132,Baseline,71.30,338.36,111.58
132,AgentDesign,66.28,339.24,111.65
133,Baseline,67.70,274.02,103.83
133,AgentDesign,63.27,271.71,103.59
134,Baseline,71.30,338.36,111.58
134,AgentDesign,63.46,341.33,111.96
135,Baseline,66.00,401.70,117.08
135,AgentDesign,63.89,399.51,116.85
136,Baseline,74.50,374.02,140.82
136,AgentDesign,67.58,372.46,140.64
137,Baseline,71.30,338.36,111.58
137,AgentDesign,60.67,345.06,112.50
138,Baseline,49.90,314.85,103.38
138,AgentDesign,58.51,320.66,104.15
139,Baseline,63.40,346.17,108.96
139,AgentDesign,71.52,348.39,109.23
140,Baseline,64.90,295.58,100.50
140,AgentDesign,71.18,290.97,100.05
141,Baseline,64.30,394.15,128.40
141,AgentDesign,71.84,395.03,128.48
142,Baseline,64.90,396.67,133.23
142,AgentDesign,71.84,398.12,133.39
143,Baseline,60.20,359.93,141.08
143,AgentDesign,71.84,366.02,141.90
144,Baseline,72.30,427.53,113.96
144,AgentDesign,71.84,428.91,114.12
145,Baseline,69.30,450.58,172.51
145,AgentDesign,71.84,454.34,173.01
146,Baseline,64.30,394.15,128.40
146,AgentDesign,71.84,397.16,128.78
147,Baseline,55.20,357.76,113.35
147,AgentDesign,71.84,359.46,113.55
148,Baseline,58.80,494.32,165.20
148,AgentDesign,72.25,501.13,166.12
149,Baseline,64.30,394.15,128.40
149,AgentDesign,71.84,394.51,128.41
150,Baseline,66.10,305.46,115.33
150,AgentDesign,71.36,307.80,115.61
151,Baseline,73.70,368.14,112.99
151,AgentDesign,71.86,370.21,113.24
152,Baseline,77.30,338.36,111.58
152,AgentDesign,71.50,339.33,111.67
153,Baseline,80.20,307.01,106.44
153,AgentDesign,71.17,306.03,106.31
154,Baseline,54.90,356.55,122.27
154,AgentDesign,71.66,365.72,123.53
155,Baseline,77.30,338.36,111.58
155,AgentDesign,71.50,339.20,111.65
156,Baseline,72.99,274.02,103.83
156,AgentDesign,71.34,279.08,104.51
157,Baseline,77.30,338.36,111.58
157,AgentDesign,71.50,339.12,111.64
158,Baseline,71.70,401.70,117.08
158,AgentDesign,71.63,399.63,116.85
159,Baseline,79.40,374.02,140.82
159,AgentDesign,71.55,380.47,141.69
160,Baseline,77.30,338.36,111.58
160,AgentDesign,71.51,340.11,111.78
161,Baseline,59.89,314.85,103.38
161,AgentDesign,67.98,317.15,103.66
162,Baseline,64.90,346.17,108.96
162,AgentDesign,72.03,349.90,109.44
163,Baseline,66.60,295.58,100.50
163,AgentDesign,71.77,295.05,100.40
164,Baseline,65.20,394.15,128.40
164,AgentDesign,72.29,398.13,128.92
165,Baseline,66.70,396.67,133.23
165,AgentDesign,72.27,392.91,132.87
166,Baseline,62.50,359.93,141.08
166,AgentDesign,72.29,363.58,141.56
167,Baseline,74.19,427.53,113.96
167,AgentDesign,72.28,426.04,113.79
168,Baseline,70.70,450.58,172.51
168,AgentDesign,72.28,450.38,172.45
169,Baseline,65.20,394.15,128.40
169,AgentDesign,72.29,401.65,129.41
170,Baseline,57.60,357.76,113.35
170,AgentDesign,72.28,359.00,113.48
171,Baseline,59.20,494.32,165.20
171,AgentDesign,72.62,496.93,165.53
172,Baseline,65.20,394.15,128.40
172,AgentDesign,72.29,398.74,129.00
173,Baseline,68.10,305.46,115.33
173,AgentDesign,71.90,307.44,115.57
174,Baseline,75.50,368.14,112.99
174,AgentDesign,72.30,367.13,112.87
175,Baseline,79.30,338.36,111.58
175,AgentDesign,72.01,338.87,111.61
176,Baseline,56.50,356.55,122.27
176,AgentDesign,72.13,358.77,122.54
177,Baseline,79.30,338.36,111.58
177,AgentDesign,72.02,341.01,111.91
178,Baseline,76.80,274.02,103.83
178,AgentDesign,71.88,280.05,104.65
179,Baseline,79.30,338.36,111.58
179,AgentDesign,72.02,342.41,112.11
180,Baseline,73.30,401.70,117.08
180,AgentDesign,72.12,401.02,116.98
181,Baseline,82.60,374.02,140.82
181,AgentDesign,72.05,375.50,140.99
182,Baseline,79.30,338.36,111.58
182,AgentDesign,72.01,338.93,111.61
183,Baseline,67.80,314.85,103.38
183,AgentDesign,71.98,315.89,103.48
198,Baseline,37.34,185.19,78.62
198,AgentDesign,33.07,185.21,78.58
202,Baseline,35.34,182.29,78.82
202,AgentDesign,33.48,184.27,79.05
203,Baseline,40.57,182.29,78.82
203,AgentDesign,38.91,183.88,79.00
207,Baseline,34.20,197.67,75.13
207,AgentDesign,30.12,198.20,75.16
208,Baseline,39.61,197.67,75.13
208,AgentDesign,33.02,199.43,75.34
213,Baseline,35.34,211.35,73.72
213,AgentDesign,33.05,211.82,73.73
217,Baseline,38.56,184.51,83.99
217,AgentDesign,30.94,186.04,84.17
218,Baseline,40.39,184.51,83.99
218,AgentDesign,37.55,186.76,84.27
223,Baseline,33.54,157.57,67.89
223,AgentDesign,32.07,161.40,68.39
225,Baseline,17.82,162.26,73.20
225,AgentDesign,34.23,166.21,73.73
226,Baseline,24.24,162.26,73.20
226,AgentDesign,47.84,162.56,73.21
227,Baseline,32.85,162.26,73.20
227,AgentDesign,58.29,161.78,73.13
228,Baseline,39.23,162.26,73.20
228,AgentDesign,71.52,162.02,73.15
232,Baseline,50.77,203.50,80.49
232,AgentDesign,30.05,202.13,80.32
233,Baseline,53.90,203.50,80.49
233,AgentDesign,33.89,203.64,80.47
238,Baseline,49.97,203.28,79.98
238,AgentDesign,34.60,203.87,80.01
243,Baseline,40.86,212.89,77.40
243,AgentDesign,32.57,215.09,77.65
248,Baseline,44.30,220.85,80.45
248,AgentDesign,32.81,222.19,80.59
252,Baseline,38.33,229.37,78.65
252,AgentDesign,30.90,228.46,78.52
253,Baseline,42.35,229.37,78.65
253,AgentDesign,34.21,230.50,78.76
257,Baseline,42.55,201.81,83.80
257,AgentDesign,33.24,203.44,83.99
258,Baseline,42.92,201.81,83.80
258,AgentDesign,40.12,204.54,84.14
262,Baseline,44.40,203.83,87.90
262,AgentDesign,34.67,203.48,87.82
263,Baseline,47.74,203.83,87.90
263,AgentDesign,38.87,203.17,87.80
267,Baseline,45.08,200.44,81.37
267,AgentDesign,39.59,204.74,81.94
268,Baseline,47.82,200.44,81.37
268,AgentDesign,42.49,199.81,81.28
272,Baseline,42.70,215.62,80.02
272,AgentDesign,33.96,218.51,80.39
273,Baseline,45.84,215.62,80.02
273,AgentDesign,44.36,219.57,80.52
277,Baseline,36.97,230.87,79.04
277,AgentDesign,34.78,236.88,79.84
278,Baseline,43.58,230.87,79.04
278,AgentDesign,40.33,229.66,78.88
282,Baseline,36.64,231.59,80.54
282,AgentDesign,33.64,234.68,80.93
283,Baseline,44.21,231.59,80.54
283,AgentDesign,38.71,233.04,80.70
287,Baseline,35.57,174.25,77.41
287,AgentDesign,31.83,174.44,77.39
288,Baseline,45.37,174.25,77.41
288,AgentDesign,38.61,173.11,77.26
292,Baseline,43.50,176.96,80.08
292,AgentDesign,33.18,178.84,80.30
293,Baseline,48.67,176.96,80.08
293,AgentDesign,38.39,178.50,80.26
297,Baseline,39.15,169.02,85.63
297,AgentDesign,32.61,170.30,85.78
298,Baseline,48.15,169.02,85.63
298,AgentDesign,41.15,170.13,85.75
301,Baseline,34.74,268.35,93.31
301,AgentDesign,36.23,267.98,93.23
302,Baseline,45.08,268.35,93.31
302,AgentDesign,44.80,272.16,93.81
303,Baseline,48.97,268.35,93.31
303,AgentDesign,53.74,268.12,93.24
306,Baseline,48.28,260.07,98.18
306,AgentDesign,36.70,264.51,98.77
307,Baseline,51.04,260.07,98.18
307,AgentDesign,48.19,262.33,98.46
308,Baseline,55.64,260.07,98.18
308,AgentDesign,54.69,259.78,98.11
311,Baseline,39.94,272.20,92.38
311,AgentDesign,36.03,275.09,92.75
312,Baseline,48.72,272.20,92.38
312,AgentDesign,46.97,273.11,92.46
313,Baseline,52.04,272.20,92.38
313,AgentDesign,52.63,271.77,92.30
316,Baseline,33.94,239.53,97.47
316,AgentDesign,37.94,241.24,97.67
317,Baseline,44.14,239.53,97.47
317,AgentDesign,47.04,241.24,97.68
318,Baseline,45.37,239.53,97.47
318,AgentDesign,55.68,238.65,97.35
321,Baseline,30.85,237.62,97.77
321,AgentDesign,32.85,240.99,98.20
322,Baseline,42.03,237.62,97.77
322,AgentDesign,43.98,240.47,98.12
323,Baseline,51.06,237.62,97.77
323,AgentDesign,47.69,235.96,97.58
326,Baseline,50.60,241.99,101.55
326,AgentDesign,38.19,242.59,101.60
327,Baseline,55.83,241.99,101.55
327,AgentDesign,49.90,243.75,101.76
328,Baseline,60.95,241.99,101.55
328,AgentDesign,56.49,246.01,102.09
330,Baseline,42.22,235.03,95.95
330,AgentDesign,33.02,240.32,96.66
331,Baseline,52.50,235.03,95.95
331,AgentDesign,40.70,231.67,95.63
332,Baseline,60.32,235.03,95.95
332,AgentDesign,56.23,236.47,96.12
333,Baseline,66.42,235.03,95.95
333,AgentDesign,64.11,235.31,95.95
336,Baseline,51.33,256.22,93.07
336,AgentDesign,40.35,258.46,93.35
337,Baseline,56.85,256.22,93.07
337,AgentDesign,50.32,254.64,92.90
338,Baseline,58.61,256.22,93.07
338,AgentDesign,56.79,259.22,93.46
341,Baseline,47.40,274.24,93.75
341,AgentDesign,38.76,277.23,94.12
342,Baseline,51.96,274.24,93.75
342,AgentDesign,45.92,276.78,94.07
343,Baseline,56.74,274.24,93.75
343,AgentDesign,58.31,277.13,94.10
346,Baseline,40.15,204.92,87.93
346,AgentDesign,37.95,208.29,88.36
347,Baseline,46.64,204.92,87.93
347,AgentDesign,49.12,209.45,88.53
348,Baseline,50.08,204.92,87.93
348,AgentDesign,55.61,206.09,88.06
351,Baseline,45.94,206.50,91.60
351,AgentDesign,38.66,206.55,91.56
352,Baseline,51.43,206.50,91.60
352,AgentDesign,49.24,209.06,91.92
353,Baseline,59.30,206.50,91.60
353,AgentDesign,54.88,207.29,91.67
356,Baseline,63.14,262.58,98.76
356,AgentDesign,39.37,263.31,98.82
357,Baseline,66.82,262.58,98.76
357,AgentDesign,52.35,267.64,99.43
358,Baseline,66.95,262.58,98.76
358,AgentDesign,61.69,262.46,98.70
360,Baseline,35.96,212.69,94.68
360,AgentDesign,32.49,214.73,94.93
361,Baseline,55.51,212.69,94.68
361,AgentDesign,46.66,216.41,95.16
362,Baseline,61.99,212.69,94.68
362,AgentDesign,58.68,209.97,94.40
363,Baseline,63.53,212.69,94.68
363,AgentDesign,66.47,211.83,94.57
366,Baseline,52.20,206.70,87.30
366,AgentDesign,37.83,208.13,87.45
367,Baseline,53.96,206.70,87.30
367,AgentDesign,50.17,205.99,87.19
368,Baseline,56.63,206.70,87.30
368,AgentDesign,56.08,206.72,87.26
372,Baseline,37.27,210.39,90.71
372,AgentDesign,41.17,212.93,91.02
373,Baseline,46.23,210.39,90.71
373,AgentDesign,47.49,216.53,91.53
377,Baseline,36.30,328.64,75.85
377,AgentDesign,32.09,328.06,75.74
378,Baseline,43.06,328.64,75.85
378,AgentDesign,36.35,327.20,75.67
379,Baseline,67.57,439.04,101.83
379,AgentDesign,71.37,443.68,102.45
380,Baseline,57.23,415.46,93.09
380,AgentDesign,71.08,424.58,94.34
381,Baseline,81.75,289.83,91.54
381,AgentDesign,58.51,291.22,91.70
382,Baseline,64.02,438.35,90.84
382,AgentDesign,60.15,443.17,91.47
383,Baseline,78.80,405.89,112.92
383,AgentDesign,60.26,409.93,113.45
384,Baseline,41.37,456.62,110.80
384,AgentDesign,71.37,467.04,112.23
385,Baseline,60.28,456.96,105.66
385,AgentDesign,68.41,453.36,105.31
386,Baseline,56.83,465.42,109.08
386,AgentDesign,63.06,472.34,110.01
387,Baseline,51.02,456.79,104.90
387,AgentDesign,69.30,459.05,105.16
388,Baseline,55.55,361.12,129.50
388,AgentDesign,63.62,363.05,129.74
389,Baseline,44.13,437.57,97.04
389,AgentDesign,51.48,438.10,97.06
390,Baseline,39.38,397.07,93.54
390,AgentDesign,47.47,405.64,94.70
391,Baseline,55.65,372.84,132.74
391,AgentDesign,67.09,376.70,133.24
392,Baseline,47.28,315.27,118.79
392,AgentDesign,55.74,316.88,118.97
393,Baseline,44.33,312.73,111.49
393,AgentDesign,46.58,306.64,110.91
394,Baseline,52.30,353.50,79.65
394,AgentDesign,41.81,350.99,79.39
396,Baseline,41.37,456.69,110.95
396,AgentDesign,71.34,451.13,110.42
400,Baseline,67.87,240.45,94.69
400,AgentDesign,54.40,240.28,94.64
401,Baseline,58.52,423.84,109.97
401,AgentDesign,65.16,432.12,111.10
402,Baseline,53.58,267.71,92.19
402,AgentDesign,47.76,265.71,91.98
403,Baseline,59.00,326.95,100.62
403,AgentDesign,54.37,327.54,100.67
404,Baseline,76.24,262.71,99.55
404,AgentDesign,59.51,266.57,100.05
405,Baseline,69.84,444.39,111.40
405,AgentDesign,71.37,444.07,111.33
433,Baseline,46.39,165.34,80.76
433,AgentDesign,31.14,167.50,81.01
435,Baseline,41.20,167.02,80.29
435,AgentDesign,30.80,168.30,80.42
437,Baseline,38.20,168.17,76.00
437,AgentDesign,30.28,168.65,76.03
438,Baseline,41.41,165.18,79.43
438,AgentDesign,31.47,164.73,79.36
439,Baseline,37.81,173.69,85.03
439,AgentDesign,32.80,174.66,85.12
442,Baseline,44.64,206.45,91.41
442,AgentDesign,34.83,208.89,91.71
446,Baseline,53.72,165.34,80.76
446,AgentDesign,39.35,164.83,80.67
447,Baseline,48.59,170.94,70.74
447,AgentDesign,40.15,171.02,70.71
448,Baseline,51.72,167.02,80.29
448,AgentDesign,42.54,169.64,80.61
449,Baseline,35.85,163.23,69.42
449,AgentDesign,39.01,165.62,69.72
450,Baseline,53.77,168.17,76.00
450,AgentDesign,41.88,168.20,75.96
451,Baseline,53.46,165.18,79.43
451,AgentDesign,43.73,164.53,79.33
452,Baseline,48.99,173.69,85.03
452,AgentDesign,43.15,172.86,84.91
453,Baseline,31.72,184.45,83.79
453,AgentDesign,30.62,186.92,84.10
454,Baseline,39.64,229.08,77.96
454,AgentDesign,30.24,229.00,77.89
455,Baseline,51.26,206.45,91.41
455,AgentDesign,46.05,206.41,91.36
458,Baseline,37.96,151.38,57.54
458,AgentDesign,33.21,151.11,57.47
459,Baseline,55.02,165.34,80.76
459,AgentDesign,48.32,168.40,81.15
460,Baseline,49.99,170.94,70.74
460,AgentDesign,46.58,171.28,70.75
461,Baseline,53.66,167.02,80.29
461,AgentDesign,49.17,168.38,80.43
462,Baseline,37.68,163.23,69.42
462,AgentDesign,43.60,165.16,69.66
463,Baseline,56.06,168.17,76.00
463,AgentDesign,49.99,168.60,76.02
464,Baseline,56.81,165.18,79.43
464,AgentDesign,48.19,164.08,79.30
465,Baseline,50.94,173.69,85.03
465,AgentDesign,49.85,173.93,85.02
466,Baseline,33.56,184.45,83.79
466,AgentDesign,35.29,186.49,84.04
467,Baseline,41.16,229.08,77.96
467,AgentDesign,33.52,230.38,78.09
468,Baseline,52.96,206.45,91.41
468,AgentDesign,54.07,208.56,91.66
470,Baseline,40.15,230.93,79.21
470,AgentDesign,38.47,230.59,79.13
471,Baseline,57.03,403.34,115.18
471,AgentDesign,70.86,411.79,116.34
472,Baseline,44.42,403.38,115.26
472,AgentDesign,70.64,407.58,115.82
473,Baseline,51.02,403.38,115.26
473,AgentDesign,70.86,405.47,115.51
474,Baseline,53.39,401.77,111.91
474,AgentDesign,70.86,407.15,112.62
478,Baseline,52.01,403.34,115.18
478,AgentDesign,36.22,405.79,115.49
479,Baseline,38.02,403.38,115.26
479,AgentDesign,36.99,409.34,116.06
480,Baseline,39.30,403.38,115.26
480,AgentDesign,35.62,403.33,115.21
481,Baseline,61.07,403.34,115.18
481,AgentDesign,71.87,410.90,116.20
482,Baseline,56.14,403.38,115.26
482,AgentDesign,71.87,403.30,115.20
483,Baseline,55.25,403.38,115.26
483,AgentDesign,71.86,401.85,115.08
484,Baseline,54.77,401.77,111.91
484,AgentDesign,71.87,406.30,112.51
485,Baseline,50.24,356.95,117.34
485,AgentDesign,68.28,365.37,118.49
486,Baseline,46.68,356.48,116.37
486,AgentDesign,64.54,357.52,116.47
487,Baseline,46.68,353.69,110.57
487,AgentDesign,66.36,359.20,111.30
491,Baseline,36.84,356.95,117.34
491,AgentDesign,32.19,358.82,117.56
492,Baseline,45.90,356.48,116.37
492,AgentDesign,31.71,356.87,116.38
493,Baseline,41.67,353.69,110.57
493,AgentDesign,31.37,361.53,111.64
494,Baseline,56.34,356.95,117.34
494,AgentDesign,71.77,355.43,117.17
495,Baseline,47.97,356.48,116.37
495,AgentDesign,71.78,360.11,116.84
496,Baseline,61.46,353.69,110.57
496,AgentDesign,71.78,355.67,110.81
497,Baseline,44.03,328.57,111.50
497,AgentDesign,63.08,327.08,111.34
498,Baseline,55.45,327.51,109.30
498,AgentDesign,65.57,330.96,109.75
499,Baseline,55.55,432.45,101.37
499,AgentDesign,57.64,431.69,101.25
